x,y,z
-7.732051086425781250e+01,5.909084320068359375e+01,2.999880790710449219e+00
-7.732051086425781250e+01,5.919118499755859375e+01,2.999880790710449219e+00
-7.732051086425781250e+01,5.929153442382812500e+01,2.998926877975463867e+00
-7.732051086425781250e+01,5.939188003540039062e+01,2.997019529342651367e+00
-7.732051086425781250e+01,5.949222564697265625e+01,2.994160175323486328e+00
-7.732051086425781250e+01,5.959257125854492188e+01,2.990350484848022461e+00
-7.732051086425781250e+01,5.969291687011718750e+01,2.985593080520629883e+00
-7.732051086425781250e+01,5.979326248168945312e+01,2.979890823364257812e+00
-7.732051086425781250e+01,5.989360809326171875e+01,2.973247289657592773e+00
-7.732051086425781250e+01,5.999395751953125000e+01,2.965666770935058594e+00
-7.732051086425781250e+01,6.009429931640625000e+01,2.957154035568237305e+00
-7.732051086425781250e+01,6.019464874267578125e+01,2.947714567184448242e+00
-7.732051086425781250e+01,6.029499435424804688e+01,2.937354326248168945e+00
-7.732051086425781250e+01,6.039533996582031250e+01,2.926079988479614258e+00
-7.732051086425781250e+01,6.049568557739257812e+01,2.913898706436157227e+00
-7.732051086425781250e+01,6.059603118896484375e+01,2.900818109512329102e+00
-7.732051086425781250e+01,6.069637680053710938e+01,2.886846780776977539e+00
-7.732051086425781250e+01,6.079672241210937500e+01,2.871993064880371094e+00
-7.732051086425781250e+01,6.089707183837890625e+01,2.856266975402832031e+00
-7.732051086425781250e+01,6.099741363525390625e+01,2.839678287506103516e+00
-7.732051086425781250e+01,6.109776306152343750e+01,2.822237491607666016e+00
-7.732051086425781250e+01,6.119810485839843750e+01,2.803956031799316406e+00
-7.732051086425781250e+01,6.129845428466796875e+01,2.784844875335693359e+00
-7.732051086425781250e+01,6.139879989624023438e+01,2.764916896820068359e+00
-7.732051086425781250e+01,6.149914550781250000e+01,2.744184255599975586e+00
-7.732051086425781250e+01,6.159949111938476562e+01,2.722660303115844727e+00
-7.732051086425781250e+01,6.169983673095703125e+01,2.700358629226684570e+00
-7.732051086425781250e+01,6.180018615722656250e+01,2.677293777465820312e+00
-7.732051086425781250e+01,6.190052795410156250e+01,2.653480052947998047e+00
-7.732051086425781250e+01,6.200087738037109375e+01,2.628932476043701172e+00
-7.732051086425781250e+01,6.210121917724609375e+01,2.603667259216308594e+00
-7.732051086425781250e+01,6.220156860351562500e+01,2.577699899673461914e+00
-7.732051086425781250e+01,6.230191421508789062e+01,2.551047325134277344e+00
-7.732051086425781250e+01,6.240225982666015625e+01,2.523725986480712891e+00
